Quadrilateral Vertex Index, Triangle Face Index, Barycentric Coordinates (u v w)
95, 107, 0.03367687059720181 0.6861230153150609 0.28020011408773726
96, 58, 12.645513095161705 -9.910860672308628 -1.7346524228530773
97, 46, 11.574495562539832 -9.90858985792317 -0.6659057046166624
98, 5, 4.548097544992357 2.3611115176309476 -5.909209062623305
99, 4, 3.432831984017653 2.6032926803962497 -5.036124664413903
100, 29, 0.03227005006458816 0.5161996722814328 0.451530277653979
101, 128, 0.595096268959266 0.03861613509611392 0.36628759594462007
102, 179, 0.21711400891289234 0.6948452467166577 0.08804074437044997
103, 175, 0.18561023046512087 0.35791697787013793 0.45647279166474125
104, 70, 0.34841150505028795 0.3360203903342205 0.31556810461549156
105, 130, 0.3580952081741614 0.42691944549493804 0.21498534633090047
106, 106, 0.8235006064534074 0.051703430584078086 0.12479596296251444
107, 107, 0.6889714612676409 0.030743301299958274 0.28028523743240086
108, 151, 0.38719737552681055 0.3202135920505469 0.29258903242264256
109, 140, 0.08880459774127708 0.49123772562608153 0.41995767663264133
110, 27, 0.3718910425409237 0.6033234239884161 0.0247855334706602
111, 28, 0.7344103575832603 0.12440597957538364 0.14118366284135592
112, 17, 0.2231517481196812 0.637153790429255 0.1396944614510638
113, 143, 0.46679641681807427 0.21828262219236516 0.31492096098956057
114, 96, 0.05413931825525442 0.6650938585334291 0.2807668232113165
115, 110, 0.6117103571319138 0.30615882761021684 0.08213081525786942
116, 157, 0.31615306648741437 0.573517058358193 0.11032987515439265
117, 41, 0.6156088056504672 0.20198852414004811 0.1824026702094847
118, 34, 10.869891240898784 -1.4193364051981847 -8.450554835700599
119, 34, 0.7959435511254692 0.0715148284935577 0.13254162038097303
120, 56, 2.0883855269659968e-05 0.2074497652841537 0.7925293508605766
121, 98, 0.5051314491467552 0.37160844930800796 0.12326010154523685
122, 111, 0.5339749296263852 0.42859604034991833 0.03742903002369652
123, 64, 0.6383653270530785 0.17753199480896498 0.18410267813795655
124, 42, 0.16688957379539737 0.24128884000232514 0.5918215862022774
125, 148, 0.30403825559780057 0.22761867422177604 0.46834307018042337
126, 132, 0.2301853639325101 0.23828460270450724 0.5315300333629827
127, 147, 0.16309480755483652 0.03595775371707693 0.8009474387280866
128, 146, 0.008878636757069236 0.038353724796873837 0.9527676384460569
129, 23, 0.27758628988525347 0.4840913833552439 0.23832232675950268
130, 15, 0.17405866531838288 -0.6275498663089786 1.4534912009905956
131, 65, 0.018906496595514133 0.062772621401841 0.9183208820026448
132, 0, 0.0 0.3642048221637516 0.6357951778362484
133, 24, 0.09022449992724008 0.8188093163000932 0.09096618377266669
134, 166, 0.7120540633747336 0.2757012907515581 0.012244645873708245
135, 177, 0.11986001501919552 0.3617321311329123 0.5184078538478922
136, 39, 0.1378311105514699 0.606581327598207 0.25558756185032305
137, 10, 0.05765023911242784 0.30310738947547816 0.6392423714120941
138, 123, 0.6496565351365995 0.13444503174514408 0.21589843311825638
139, 5, 2.795947914076963 3.0429697698967195 -4.8389176839736825
140, 31, 0.62441226881686 0.12027984930026371 0.25530788188287634
141, 109, 0.4863947948696344 0.16019698647210223 0.3534082186582634
142, 27, 0.15060563404145633 0.200447327167342 0.6489470387912016
143, 66, 0.09404414101243297 0.08152117537919533 0.8244346836083717
144, 108, 0.006005530767811407 0.6325593312011095 0.3614351380310791
145, 165, 0.18581418545646788 0.3156800534972142 0.49850576104631794
146, 129, 0.1828635205337682 0.16795246637818181 0.64918401308805
147, 77, 5.840193116585235e-06 0.8318620024260902 0.1681321573807932
148, 176, 0.17640039418236786 0.636659386069288 0.18694021974834418
149, 64, 0.2789205186539164 0.0428823524938398 0.6781971288522438
150, 121, 12.605305824517714 -2.617464175363258 -8.987841649154456
151, 104, 0.6526664569402092 0.34732464617033376 8.896889457013694e-06
152, 91, 14.177704606191359 -9.228149589108288 -3.9495550170830716
153, 141, 0.32399508756426754 0.4042827341714374 0.271722178264295
154, 14, 6.622415915369384e-06 0.5028421155194005 0.49715126206468413
155, 45, 0.6362980771567133 0.15970822583836702 0.20399369700491965
156, 27, 0.826612348007945 0.051629581552659475 0.12175807043939542
157, 69, 0.31839793526362553 0.37398834771268763 0.30761371702368684
158, 83, 0.4189045048476537 0.11117300717625345 0.4699224879760929
159, 1, 6.700608649490292e-06 0.23793253959843808 0.7620607597929124
160, 145, 0.4991144901863615 0.07384769184815786 0.4270378179654806
161, 21, 3.4016475471909295 -5.175578067171207 2.7739305199802775
162, 77, 12.87426478580159 -3.5479603298208136 -8.326304455980775
163, 33, 6.474448089877072e-07 0.5891841493851646 0.4108152031700264
164, 2, 5.345769545236911e-06 0.9364501347795918 0.06354451945086294
165, 20, 4.553067411573901 -6.088853031701944 2.5357856201280424
